Model,Variable,AOR,CI_Lower,CI_Upper,P
base,f.raceBlack,1.41,0.53,3.78,0.4913
base,f.raceOther,1.4,0.43,4.52,0.5765
base,f.cancerMelanoma,0.62,0.26,1.47,0.2757
base,f.cancerOther,0.64,0.37,1.11,0.1140
base,nci_cci_score,1.07,0.97,1.18,0.1704
base,ppi,0.7,0.39,1.27,0.2469
base,nsaid,1.2,0.69,2.09,0.5131
base,acei_arb,1.25,0.67,2.33,0.4811
base,diuretic,1.4,0.75,2.61,0.2931
insurance,f.age65-74,0.49,0.25,0.98,0.0430
insurance,f.raceBlack,1.24,0.44,3.45,0.6819
insurance,f.raceOther,1.28,0.39,4.13,0.6840
insurance,f.cancerMelanoma,0.62,0.25,1.51,0.2893
insurance,f.cancerOther,0.64,0.36,1.15,0.1380
insurance,nci_cci_score,1.05,0.95,1.17,0.3014
insurance,ppi,0.62,0.34,1.16,0.1376
insurance,nsaid,1.17,0.66,2.06,0.5948
insurance,acei_arb,1.21,0.64,2.3,0.5594
insurance,diuretic,1.38,0.73,2.62,0.3185
insurance,f.insuranceMedicare,1.4,0.74,2.65,0.3018
insurance,f.insuranceMedicaid,1.69,0.78,3.66,0.1857
income,f.age65-74,0.51,0.26,0.98,0.0444
income,f.raceBlack,0.99,0.32,3.04,0.9801
income,f.raceOther,1.51,0.41,5.54,0.5341
income,f.cancerMelanoma,0.43,0.17,1.09,0.0764
income,f.cancerOther,0.58,0.32,1.06,0.0748
income,nci_cci_score,1.05,0.95,1.17,0.3292
income,ppi,0.6,0.32,1.14,0.1176
income,nsaid,1.48,0.81,2.71,0.2001
income,acei_arb,1.08,0.55,2.09,0.8283
income,diuretic,1.76,0.91,3.41,0.0939
income,f.income10k_25k,0.71,0.27,1.84,0.4783
income,f.incomelt10k,5.14,1.49,17.8,0.0097
education,f.raceBlack,1.42,0.52,3.9,0.4974
education,f.raceOther,1.15,0.33,3.99,0.8211
education,f.cancerMelanoma,0.67,0.27,1.64,0.3775
education,f.cancerOther,0.62,0.35,1.1,0.1030
education,nci_cci_score,1.09,0.98,1.21,0.0977
education,ppi,0.63,0.34,1.16,0.1356
education,nsaid,1.21,0.68,2.14,0.5232
education,acei_arb,1.19,0.62,2.27,0.5995
education,diuretic,1.28,0.67,2.45,0.4488
education,f.educationHS_GED,0.95,0.41,2.2,0.9129
education,f.educationlt_HS,2.74,1.0,7.5,0.0501
employment,f.raceBlack,1.52,0.56,4.12,0.4141
employment,f.raceOther,1.63,0.48,5.48,0.4313
employment,f.cancerMelanoma,0.64,0.27,1.55,0.3224
employment,f.cancerOther,0.58,0.33,1.04,0.0663
employment,nci_cci_score,1.08,0.98,1.2,0.1329
employment,ppi,0.71,0.39,1.3,0.2641
employment,nsaid,1.11,0.63,1.98,0.7122
employment,acei_arb,1.34,0.7,2.56,0.3724
employment,diuretic,1.54,0.81,2.94,0.1870
employment,f.employmentUnable_to_Work,0.88,0.38,2.05,0.7657
employment,f.employmentUnemployed,1.02,0.34,3.03,0.9785
employment,f.employmentUnknown,6.04,1.17,31.11,0.0315
housing,f.age65-74,0.52,0.27,0.98,0.0430
housing,f.raceBlack,1.51,0.54,4.21,0.4340
housing,f.raceOther,1.43,0.43,4.72,0.5579
housing,f.cancerMelanoma,0.55,0.23,1.36,0.1982
housing,f.cancerOther,0.61,0.34,1.09,0.0938
housing,nci_cci_score,1.08,0.98,1.2,0.1248
housing,ppi,0.72,0.4,1.31,0.2847
housing,nsaid,1.2,0.69,2.09,0.5150
housing,acei_arb,1.21,0.64,2.27,0.5546
housing,diuretic,1.41,0.75,2.66,0.2896
housing,f.housingRent,0.7,0.38,1.29,0.2490
housing,f.housingOther_Arrangement,1.21,0.5,2.98,0.6719
housing_stability,f.raceBlack,1.54,0.56,4.24,0.4063
housing_stability,f.raceOther,1.44,0.45,4.64,0.5414
housing_stability,f.cancerMelanoma,0.6,0.25,1.43,0.2459
housing_stability,f.cancerOther,0.63,0.36,1.11,0.1091
housing_stability,nci_cci_score,1.07,0.97,1.18,0.1804
housing_stability,ppi,0.7,0.38,1.26,0.2300
housing_stability,nsaid,1.22,0.7,2.13,0.4760
housing_stability,acei_arb,1.3,0.69,2.43,0.4173
housing_stability,diuretic,1.39,0.74,2.58,0.3033
housing_stability,f.stabilityUnstable,0.72,0.32,1.62,0.4212
joint_sdoh,f.raceBlack,1.15,0.33,4.0,0.8312
joint_sdoh,f.raceOther,1.38,0.34,5.68,0.6529
joint_sdoh,f.cancerMelanoma,0.46,0.17,1.27,0.1334
joint_sdoh,f.cancerOther,0.55,0.28,1.07,0.0790
joint_sdoh,nci_cci_score,1.09,0.96,1.23,0.1768
joint_sdoh,ppi,0.58,0.29,1.16,0.1215
joint_sdoh,nsaid,1.48,0.76,2.9,0.2467
joint_sdoh,acei_arb,1.13,0.54,2.35,0.7505
joint_sdoh,diuretic,1.6,0.76,3.36,0.2126
joint_sdoh,f.insuranceMedicare,1.27,0.63,2.58,0.5049
joint_sdoh,f.insuranceMedicaid,1.54,0.55,4.29,0.4114
joint_sdoh,f.income10k_25k,0.74,0.23,2.43,0.6224
joint_sdoh,f.incomelt10k,4.97,0.97,25.47,0.0545
joint_sdoh,f.educationHS_GED,0.95,0.34,2.68,0.9282
joint_sdoh,f.educationlt_HS,3.17,0.85,11.8,0.0853
joint_sdoh,f.employmentUnable_to_Work,0.62,0.21,1.84,0.3884
joint_sdoh,f.employmentUnemployed,0.56,0.15,2.03,0.3754
joint_sdoh,f.housingRent,0.71,0.33,1.51,0.3712
joint_sdoh,f.housingOther_Arrangement,0.81,0.25,2.61,0.7301
joint_sdoh,f.stabilityUnstable,0.8,0.29,2.18,0.6564
